image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000009_yolo_plate_ocr_dataset.jpg,59P215270,baseline,baseline,59P215270,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000012_archive_plate_crops_from_coords.jpg,95E111778,baseline,baseline,95E19778,False,2,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000014_yolo_plate_dataset.jpg,59M111811,baseline,baseline,59M111811,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000020_archive_plate_crops_from_coords.jpg,59L213938,baseline,baseline,59L213938,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000021_yolo_plate_ocr_dataset.jpg,59E165903,baseline,baseline,59E165903,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000022_yolo_plate_dataset.jpg,KY7484,baseline,baseline,KV7484,False,1,False,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000026_yolo_plate_ocr_dataset.jpg,59C262872,baseline,baseline,59C262872,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000031_archive_plate_crops_from_coords.jpg,50E11297,baseline,baseline,50E11297,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000039_archive_plate_crops_from_coords.jpg,70G124552,baseline,baseline,70G124552,True,0,True,False,False
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_7_compact_multiscale_ppo\external_holdout_cropped\images\general_000041_archive_plate_crops_from_coords.jpg,61G367723,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,1F1928,False,7,False,False,False
