image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken,source,input_transform,crop_width,crop_height,crop_size_bucket
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000001_general_004505.jpg,51H93514,baseline,baseline,51H83514,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,99,57,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000002_general_015747.jpg,54T46641,baseline,baseline,54T46647,False,1,False,False,False,yolo_plate_dataset,crop_source_bounding_box,96,79,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000003_general_014952.jpg,70Z77839,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,BAUTHESS,False,8,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,267,323,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000004_general_012015.jpg,84A03125,baseline,baseline,84A03125,True,0,True,False,False,archive_plate_crops_from_coords,existing_plate_crop,101,66,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000005_general_007117.jpg,51F96080,baseline,baseline,51F96080,True,0,True,False,False,cropped,existing_plate_crop,57,21,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000006_general_016540.jpg,30A98786,full_z1.00_up2_clahe_rl_deblur_bilateral,full_z1.00_up2_clahe_rl_deblur_bilateral,30X98786,False,1,True,False,True,cropped,existing_plate_crop,33,22,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000007_general_015487.jpg,51D49841,baseline,baseline,51D88841,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,72,40,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000008_general_002876.jpg,98851F86,baseline,baseline,51F86988,False,6,False,False,False,yolo_plate_ocr_dataset,existing_plate_crop,780,165,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000009_general_005975.jpg,60B138026,baseline,baseline,69B136026,False,2,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,70,42,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000010_general_002514.jpg,72A48192,baseline,baseline,72A48192,True,0,True,False,False,cropped,existing_plate_crop,57,37,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000011_general_006434.jpg,59U143868,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,unwrap_z1.07_up2_clahe_rl_deblur_bilateral,59U143868,True,0,False,True,False,archive_plate_crops_from_coords,existing_plate_crop,98,82,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000012_general_005648.jpg,59P124497,baseline,baseline,59P124497,True,0,True,False,False,yolo_plate_dataset,crop_source_bounding_box,99,86,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000013_general_001184.jpg,60LD01837,baseline,baseline,60LD01837,True,0,True,False,False,cropped,existing_plate_crop,47,33,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_11_replicated_primary_ppo\fresh_external_holdout\images\phase9_000014_general_007807.jpg,59D115436,baseline,baseline,59X115436,False,1,False,False,False,archive_plate_crops_from_coords,existing_plate_crop,109,82,min_side_64_127
