image_path,target,first_action,final_action,prediction,exact,edit_distance,baseline_exact,fixed,broken,policy_a_action,policy_b_action,policy_a_prediction,policy_b_prediction,prediction_agreement_change,source,input_transform,crop_width,crop_height,crop_size_bucket
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007569.jpg,84E126377,baseline,baseline,84E126377,True,0,True,False,False,baseline,baseline,84E126377,84E126377,False,archive_plate_crops_from_coords,existing_plate_crop,90,79,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_007801.jpg,59S244712,baseline,baseline,59S244717,False,1,False,False,False,baseline,baseline,59S244717,59S244717,False,yolo_plate_ocr_dataset,existing_plate_crop,760,560,min_side_ge128
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_003751.jpg,50X25790,baseline,baseline,55X25790,False,1,False,False,False,baseline,baseline,55X25790,55X25790,False,archive_plate_crops_from_coords,existing_plate_crop,56,41,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_004727.jpg,79D159054,baseline,baseline,79D159054,True,0,True,False,False,baseline,baseline,79D159054,79D159054,False,cropped,existing_plate_crop,37,35,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_015681.jpg,52P56886,baseline,baseline,52P5688,False,1,False,False,False,baseline,baseline,52P5688,52P5688,False,archive_plate_crops_from_coords,existing_plate_crop,120,39,min_side_32_63
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_003684.jpg,59F182787,baseline,baseline,59F182787,True,0,True,False,False,baseline,baseline,59F182787,59F182787,False,yolo_plate_dataset,crop_source_bounding_box,94,75,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_002048.jpg,83F59916,baseline,baseline,83F59916,True,0,True,False,False,baseline,baseline,83F59916,83F59916,False,yolo_plate_dataset,crop_source_bounding_box,132,95,min_side_64_127
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_008366.jpg,60K12311,baseline,baseline,60K12311,True,0,True,False,False,baseline,baseline,60K12311,60K12311,False,cropped,existing_plate_crop,43,30,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_011052.jpg,51F1580,baseline,baseline,51F16380,False,2,False,False,False,baseline,full_z1.00_up2_clahe_rl_deblur_bilateral,51F16380,51F15380,False,yolo_plate_dataset,crop_source_bounding_box,45,13,min_side_lt32
D:\NEO\LPR\parseq_official_pipeline\reinforcement_learning\phase_8_consensus_ppo\fresh_external_holdout\images\phase8_general_006771.jpg,65P34448,baseline,baseline,65P34448,True,0,True,False,False,baseline,baseline,65P34448,65P34448,False,yolo_plate_dataset,crop_source_bounding_box,164,102,min_side_64_127
